"county_fips","alpha","tau","vhi","n_alpha_0","n_alpha_5","n_alpha_15","n_alpha_25","incidence","prod_loss_cost","mmr_cost","directMedicalCost","totalCost"
51001,0,0.5,75,28376,28096,27476,26863,0,0,6469728,0,6469728
51001,0,0.5,85,28376,28096,27476,26863,0,0,6469728,0,6469728
51001,0,0.5,95,28376,28096,27476,26863,0,0,6469728,0,6469728
51001,5,0.4,75,28376,28096,27476,26863,0,0,6405888,0,6405888
51001,5,0.4,85,28376,28096,27476,26863,0,0,6405888,0,6405888
51001,5,0.4,95,28376,28096,27476,26863,0,0,6405888,0,6405888
51001,5,0.5,75,28376,28096,27476,26863,0,0,6405888,0,6405888
51001,5,0.5,85,28376,28096,27476,26863,0,0,6405888,0,6405888
51001,5,0.5,95,28376,28096,27476,26863,0,0,6405888,0,6405888
51001,5,0.6,75,28376,28096,27476,26863,0,0,6405888,0,6405888
51001,5,0.6,85,28376,28096,27476,26863,0,0,6405888,0,6405888
51001,5,0.6,95,28376,28096,27476,26863,0,0,6405888,0,6405888
51001,15,0.4,75,28376,28096,27476,26863,0,0,6264528,0,6264528
51001,15,0.4,85,28376,28096,27476,26863,0,0,6264528,0,6264528
51001,15,0.4,95,28376,28096,27476,26863,0,0,6264528,0,6264528
51001,15,0.5,75,28376,28096,27476,26863,0,0,6264528,0,6264528
51001,15,0.5,85,28376,28096,27476,26863,0,0,6264528,0,6264528
51001,15,0.5,95,28376,28096,27476,26863,0,0,6264528,0,6264528
51001,15,0.6,75,28376,28096,27476,26863,0,0,6264528,0,6264528
51001,15,0.6,85,28376,28096,27476,26863,0,0,6264528,0,6264528
51001,15,0.6,95,28376,28096,27476,26863,0,0,6264528,0,6264528
51001,25,0.4,75,28376,28096,27476,26863,0,0,6124764,0,6124764
51001,25,0.4,85,28376,28096,27476,26863,0,0,6124764,0,6124764
51001,25,0.4,95,28376,28096,27476,26863,0,0,6124764,0,6124764
51001,25,0.5,75,28376,28096,27476,26863,2.25,10287.3882503193,6124764,14606.4375,6151131.93175287
51001,25,0.5,85,28376,28096,27476,26863,1,861.68582375479,6124764,6491.75,6135256.61206897
51001,25,0.5,95,28376,28096,27476,26863,0,0,6124764,0,6124764
51001,25,0.6,75,28376,28096,27476,26863,4,12162.9310344827,6124764,25967,6163714.5
51001,25,0.6,85,28376,28096,27476,26863,3,0,6124764,19475.25,6144239.25
51001,25,0.6,95,28376,28096,27476,26863,1,0,6124764,6491.75,6131255.75
51003,0,0.5,75,85184,84231,82383,80549,0,0,19421952,0,19421952
51003,0,0.5,85,85184,84231,82383,80549,0,0,19421952,0,19421952
51003,0,0.5,95,85184,84231,82383,80549,0,0,19421952,0,19421952
51003,5,0.4,75,85184,84231,82383,80549,0,0,19204668,0,19204668
51003,5,0.4,85,85184,84231,82383,80549,0,0,19204668,0,19204668
51003,5,0.4,95,85184,84231,82383,80549,0,0,19204668,0,19204668
51003,5,0.5,75,85184,84231,82383,80549,0,0,19204668,0,19204668
51003,5,0.5,85,85184,84231,82383,80549,0,0,19204668,0,19204668
51003,5,0.5,95,85184,84231,82383,80549,0,0,19204668,0,19204668
51003,5,0.6,75,85184,84231,82383,80549,0,0,19204668,0,19204668
51003,5,0.6,85,85184,84231,82383,80549,0,0,19204668,0,19204668
51003,5,0.6,95,85184,84231,82383,80549,0,0,19204668,0,19204668
51003,15,0.4,75,85184,84231,82383,80549,0,0,18783324,0,18783324
51003,15,0.4,85,85184,84231,82383,80549,0,0,18783324,0,18783324
51003,15,0.4,95,85184,84231,82383,80549,0,0,18783324,0,18783324
51003,15,0.5,75,85184,84231,82383,80549,1,0,18783324,6491.75,18789815.75
51003,15,0.5,85,85184,84231,82383,80549,0,0,18783324,0,18783324
51003,15,0.5,95,85184,84231,82383,80549,0,0,18783324,0,18783324
51003,15,0.6,75,85184,84231,82383,80549,221.75,370730.969508301,18783324,1439545.5625,20515699.5320083
51003,15,0.6,85,85184,84231,82383,80549,9,26866.0121328224,18783324,58425.75,18873906.6594029
51003,15,0.6,95,85184,84231,82383,80549,1,0,18783324,6491.75,18789815.75
51003,25,0.4,75,85184,84231,82383,80549,1266.75,3635428.19667944,18365172,8223424.3125,30184237.9262452
51003,25,0.4,85,85184,84231,82383,80549,85,123208.365261814,18365172,551798.75,19057681.054039
51003,25,0.4,95,85184,84231,82383,80549,3,9918.75798212008,18365172,19475.25,18395158.6005747
51003,25,0.5,75,85184,84231,82383,80549,3901.25,19612652.5595466,18365172,25325939.6875,63547349.7961366
51003,25,0.5,85,85184,84231,82383,80549,2602.5,11606249.9315134,18365172,16894779.375,46759384.4724616
51003,25,0.5,95,85184,84231,82383,80549,229,600464.894636016,18365172,1486610.75,20799138.8849776
51003,25,0.6,75,85184,84231,82383,80549,4368.5,23011731.8390804,18365172,28359209.875,69391449.4697478
51003,25,0.6,85,85184,84231,82383,80549,4071,0,18365172,26427914.25,45671095.4375
51003,25,0.6,95,85184,84231,82383,80549,2126.25,10854429.9216156,18365172,13803083.4375,43027061.4162675
51005,0,0.5,75,14279,14118,13816,13473,0,0,3255612,0,3255612
51005,0,0.5,85,14279,14118,13816,13473,0,0,3255612,0,3255612
51005,0,0.5,95,14279,14118,13816,13473,0,0,3255612,0,3255612
51005,5,0.4,75,14279,14118,13816,13473,0,0,3218904,0,3218904
51005,5,0.4,85,14279,14118,13816,13473,0,0,3218904,0,3218904
51005,5,0.4,95,14279,14118,13816,13473,0,0,3218904,0,3218904
51005,5,0.5,75,14279,14118,13816,13473,0,0,3218904,0,3218904
51005,5,0.5,85,14279,14118,13816,13473,0,0,3218904,0,3218904
51005,5,0.5,95,14279,14118,13816,13473,0,0,3218904,0,3218904
51005,5,0.6,75,14279,14118,13816,13473,0,0,3218904,0,3218904
51005,5,0.6,85,14279,14118,13816,13473,0,0,3218904,0,3218904
51005,5,0.6,95,14279,14118,13816,13473,0,0,3218904,0,3218904
51005,15,0.4,75,14279,14118,13816,13473,0,0,3150048,0,3150048
51005,15,0.4,85,14279,14118,13816,13473,0,0,3150048,0,3150048
51005,15,0.4,95,14279,14118,13816,13473,0,0,3150048,0,3150048
51005,15,0.5,75,14279,14118,13816,13473,0,0,3150048,0,3150048
51005,15,0.5,85,14279,14118,13816,13473,0,0,3150048,0,3150048
51005,15,0.5,95,14279,14118,13816,13473,0,0,3150048,0,3150048
51005,15,0.6,75,14279,14118,13816,13473,0.25,0,3150048,1622.9375,3151670.9375
51005,15,0.6,85,14279,14118,13816,13473,0,0,3150048,0,3150048
51005,15,0.6,95,14279,14118,13816,13473,0,0,3150048,0,3150048
51005,25,0.4,75,14279,14118,13816,13473,1,52.6340996168583,3071844,6491.75,3078708.30747126
51005,25,0.4,85,14279,14118,13816,13473,0,0,3071844,0,3071844
51005,25,0.4,95,14279,14118,13816,13473,0,0,3071844,0,3071844
51005,25,0.5,75,14279,14118,13816,13473,146.25,127744.877075351,3071844,949418.4375,4153818.23020434
51005,25,0.5,85,14279,14118,13816,13473,2,5873.08429118774,3071844,12983.5,3096359.14774904
51005,25,0.5,95,14279,14118,13816,13473,0,0,3071844,0,3071844
51005,25,0.6,75,14279,14118,13816,13473,479.5,506769.26133461,3071844,3112794.125,6741305.6875
51005,25,0.6,85,14279,14118,13816,13473,104.75,0,3071844,680010.8125,3751854.8125
51005,25,0.6,95,14279,14118,13816,13473,2,2046.36015325671,3071844,12983.5,3086451.63793103
51007,0,0.5,75,10779,10671,10434,10208,0,0,2457612,0,2457612
51007,0,0.5,85,10779,10671,10434,10208,0,0,2457612,0,2457612
51007,0,0.5,95,10779,10671,10434,10208,0,0,2457612,0,2457612
51007,5,0.4,75,10779,10671,10434,10208,0,0,2432988,0,2432988
51007,5,0.4,85,10779,10671,10434,10208,0,0,2432988,0,2432988
51007,5,0.4,95,10779,10671,10434,10208,0,0,2432988,0,2432988
51007,5,0.5,75,10779,10671,10434,10208,0,0,2432988,0,2432988
51007,5,0.5,85,10779,10671,10434,10208,0,0,2432988,0,2432988
51007,5,0.5,95,10779,10671,10434,10208,0,0,2432988,0,2432988
51007,5,0.6,75,10779,10671,10434,10208,0,0,2432988,0,2432988
51007,5,0.6,85,10779,10671,10434,10208,0,0,2432988,0,2432988
51007,5,0.6,95,10779,10671,10434,10208,0,0,2432988,0,2432988
51007,15,0.4,75,10779,10671,10434,10208,0,0,2378952,0,2378952
51007,15,0.4,85,10779,10671,10434,10208,0,0,2378952,0,2378952
51007,15,0.4,95,10779,10671,10434,10208,0,0,2378952,0,2378952
51007,15,0.5,75,10779,10671,10434,10208,0,0,2378952,0,2378952
51007,15,0.5,85,10779,10671,10434,10208,0,0,2378952,0,2378952
51007,15,0.5,95,10779,10671,10434,10208,0,0,2378952,0,2378952
51007,15,0.6,75,10779,10671,10434,10208,0,0,2378952,0,2378952
51007,15,0.6,85,10779,10671,10434,10208,0,0,2378952,0,2378952
51007,15,0.6,95,10779,10671,10434,10208,0,0,2378952,0,2378952
51007,25,0.4,75,10779,10671,10434,10208,0,0,2327424,0,2327424
51007,25,0.4,85,10779,10671,10434,10208,0,0,2327424,0,2327424
51007,25,0.4,95,10779,10671,10434,10208,0,0,2327424,0,2327424
51007,25,0.5,75,10779,10671,10434,10208,6,6127.77777777778,2327424,38950.5,2376974.72701149
51007,25,0.5,85,10779,10671,10434,10208,1,701.494252873563,2327424,6491.75,2338330.49784483
51007,25,0.5,95,10779,10671,10434,10208,0,0,2327424,0,2327424
51007,25,0.6,75,10779,10671,10434,10208,100.25,55381.2739463602,2327424,650797.9375,3081677.50997765
