Re_State_FIPS_Code,Re_County_FIPS_Code,Re_State_Name,Re_County_Name,Wo_State_FIPS_Code,Wo_County_FIPS_Code,Wo_State_Name,Wo_County_Name,Workers_in_Commuting_Flow,Margin_of _Error
051,001,Virginia,Accomack County,051,001,Virginia,Accomack County,10786,664
051,001,Virginia,Accomack County,051,041,Virginia,Chesterfield County,2,4
051,001,Virginia,Accomack County,051,059,Virginia,Fairfax County,34,62
051,001,Virginia,Accomack County,051,087,Virginia,Henrico County,2,5
051,001,Virginia,Accomack County,051,099,Virginia,King George County,29,42
051,001,Virginia,Accomack County,051,131,Virginia,Northampton County,1026,208
051,001,Virginia,Accomack County,051,199,Virginia,York County,5,8
051,001,Virginia,Accomack County,051,540,Virginia,Charlottesville city,10,15
051,001,Virginia,Accomack County,051,550,Virginia,Chesapeake city,50,56
051,001,Virginia,Accomack County,051,630,Virginia,Fredericksburg city,40,61
051,001,Virginia,Accomack County,051,760,Virginia,Richmond city,1,2
051,001,Virginia,Accomack County,051,800,Virginia,Suffolk city,4,7
051,001,Virginia,Accomack County,051,810,Virginia,Virginia Beach city,1,4
051,001,Virginia,Accomack County,051,830,Virginia,Williamsburg city,2,3
051,003,Virginia,Albemarle County,051,003,Virginia,Albemarle County,30705,1136
051,003,Virginia,Albemarle County,051,009,Virginia,Amherst County,48,50
051,003,Virginia,Albemarle County,051,013,Virginia,Arlington County,72,56
051,003,Virginia,Albemarle County,051,015,Virginia,Augusta County,405,167
051,003,Virginia,Albemarle County,051,029,Virginia,Buckingham County,72,49
051,003,Virginia,Albemarle County,051,031,Virginia,Campbell County,10,16
051,003,Virginia,Albemarle County,051,037,Virginia,Charlotte County,7,11
051,003,Virginia,Albemarle County,051,041,Virginia,Chesterfield County,154,78
051,003,Virginia,Albemarle County,051,047,Virginia,Culpeper County,136,83
051,003,Virginia,Albemarle County,051,059,Virginia,Fairfax County,98,61
051,003,Virginia,Albemarle County,051,061,Virginia,Fauquier County,36,34
051,003,Virginia,Albemarle County,051,065,Virginia,Fluvanna County,212,109
051,003,Virginia,Albemarle County,051,075,Virginia,Goochland County,53,38
051,003,Virginia,Albemarle County,051,079,Virginia,Greene County,590,208
051,003,Virginia,Albemarle County,051,081,Virginia,Greensville County,7,11
051,003,Virginia,Albemarle County,051,087,Virginia,Henrico County,191,110
051,003,Virginia,Albemarle County,051,107,Virginia,Loudoun County,25,21
051,003,Virginia,Albemarle County,051,109,Virginia,Louisa County,490,180
051,003,Virginia,Albemarle County,051,113,Virginia,Madison County,179,143
